pos_likelihood,neg_likelihood
0.0,1.0
0.0048000000000000395,0.9952
0.012800000000000011,0.9872
0.016000000000000014,0.984
0.020800000000000055,0.9792
0.046400000000000004,0.9536
0.054400000000000046,0.9456
0.056000000000000015,0.944
0.057600000000000054,0.9423999999999999
0.059200000000000016,0.9408
0.08160000000000003,0.9184
0.0864,0.9136
0.08960000000000001,0.9104
0.09120000000000004,0.9087999999999999
0.09440000000000005,0.9056
0.09440000000000005,0.9056
0.09440000000000005,0.9056
0.09600000000000002,0.904
0.09600000000000002,0.904
0.09760000000000005,0.9024
0.09920000000000001,0.9008
0.10080000000000006,0.8992
0.10080000000000006,0.8992
0.10400000000000005,0.8959999999999999
0.11359999999999999,0.8864
0.1168,0.8832
0.1168,0.8832
0.12,0.88
0.12160000000000004,0.8784
0.12480000000000004,0.8752
0.136,0.864
0.14240000000000003,0.8575999999999999
0.1536,0.8464
0.15840000000000004,0.8415999999999999
0.16,0.84
0.16160000000000005,0.8383999999999999
0.16160000000000005,0.8383999999999999
0.1632,0.8368
0.1664,0.8336
0.1728,0.8271999999999999
0.17440000000000005,0.8255999999999999
0.17440000000000005,0.8255999999999999
0.17440000000000005,0.8255999999999999
0.17760000000000006,0.8223999999999999
0.17760000000000006,0.8223999999999999
0.17760000000000006,0.8223999999999999
0.17760000000000006,0.8223999999999999
0.18560000000000001,0.8144
0.18720000000000006,0.8128
0.1904,0.8096
0.19200000000000003,0.8079999999999999
0.19520000000000004,0.8048
0.19840000000000002,0.8016
0.19840000000000002,0.8016
0.20000000000000004,0.7999999999999999
0.20000000000000004,0.7999999999999999
0.20000000000000004,0.7999999999999999
0.20160000000000003,0.7984
0.2096,0.7904
0.2112,0.7888
0.21280000000000002,0.7872
0.2144,0.7856
0.2144,0.7856
0.2144,0.7856
0.21600000000000003,0.784
0.21760000000000002,0.7824
0.21760000000000002,0.7824
0.2192,0.7807999999999999
0.22240000000000001,0.7776
0.22240000000000001,0.7776
0.22240000000000001,0.7776
0.22400000000000003,0.776
0.22400000000000003,0.776
0.22400000000000003,0.776
0.22560000000000002,0.7744
0.2272,0.7727999999999999
0.2272,0.7727999999999999
0.2272,0.7727999999999999
0.2272,0.7727999999999999
0.22880000000000003,0.7712
0.22880000000000003,0.7712
0.23040000000000002,0.7696
0.23200000000000004,0.768
0.23360000000000003,0.7664
0.23360000000000003,0.7664
0.23520000000000002,0.7647999999999999
0.23520000000000002,0.7647999999999999
0.23520000000000002,0.7647999999999999
0.23520000000000002,0.7647999999999999
0.23680000000000004,0.7632
0.23680000000000004,0.7632
0.23680000000000004,0.7632
0.23680000000000004,0.7632
0.23840000000000003,0.7615999999999999
0.23840000000000003,0.7615999999999999
0.24320000000000003,0.7567999999999999
0.24320000000000003,0.7567999999999999
0.24320000000000003,0.7567999999999999
0.24480000000000005,0.7552
0.24480000000000005,0.7552
0.24480000000000005,0.7552
0.24640000000000004,0.7535999999999999
0.24640000000000004,0.7535999999999999
0.24640000000000004,0.7535999999999999
0.2528,0.7472
0.2528,0.7472
0.2528,0.7472
0.2544,0.7456
0.2544,0.7456
0.2544,0.7456
0.2544,0.7456
0.256,0.744
0.2576,0.7424
0.25920000000000004,0.7407999999999999
0.26080000000000003,0.7392
0.26080000000000003,0.7392
0.26080000000000003,0.7392
0.26080000000000003,0.7392
0.26080000000000003,0.7392
0.26080000000000003,0.7392
0.2624,0.7376
0.2624,0.7376
0.2624,0.7376
0.264,0.736
0.264,0.736
0.2656,0.7343999999999999
0.26720000000000005,0.7327999999999999
0.26720000000000005,0.7327999999999999
0.26880000000000004,0.7312
0.26880000000000004,0.7312
0.27040000000000003,0.7296
0.272,0.728
0.2736,0.7263999999999999
0.2736,0.7263999999999999
0.2736,0.7263999999999999
0.2736,0.7263999999999999
0.2736,0.7263999999999999
0.2736,0.7263999999999999
0.27520000000000006,0.7247999999999999
0.27520000000000006,0.7247999999999999
0.27680000000000005,0.7232
0.27840000000000004,0.7216
0.27840000000000004,0.7216
0.28,0.72
0.28,0.72
0.28,0.72
0.2816,0.7183999999999999
0.28320000000000006,0.7167999999999999
0.28320000000000006,0.7167999999999999
0.28480000000000005,0.7152
0.28640000000000004,0.7136
0.28800000000000003,0.712
0.28800000000000003,0.712
0.2912,0.7088
0.2912,0.7088
0.2912,0.7088
0.2912,0.7088
0.2944,0.7056
0.29600000000000004,0.704
0.29760000000000003,0.7023999999999999
0.29760000000000003,0.7023999999999999
0.29760000000000003,0.7023999999999999
0.29760000000000003,0.7023999999999999
0.2992,0.7008
0.3008,0.6992
0.3008,0.6992
0.3024,0.6976
0.30400000000000005,0.696
0.30400000000000005,0.696
0.30720000000000003,0.6928
0.30720000000000003,0.6928
0.30720000000000003,0.6928
0.30720000000000003,0.6928
